02,0.01,2.32
17688,0.03,0.01,3.66
17711,0.04,0.01,3.36
17734,0.03,0.02,2.01
17757,0.02,-0.00,2.32
17781,0.02,-0.01,2.69
17805,0.02,0.01,3.05
17828,0.02,0.00,1.65
17851,0.03,0.01,3.42
17874,0.01,0.00,2.26
17897,0.02,0.02,3.72
17919,0.01,0.01,3.11
17942,0.02,0.00,3.42
17965,0.02,0.02,3.78
17988,0.03,-0.00,2.87
18012,0.03,0.02,2.99
18035,0.02,0.02,3.54
18058,0.02,0.02,3.36
18081,0.02,0.01,3.30
18104,0.00,0.01,2.75
18127,0.02,0.02,2.38
18150,0.04,0.02,3.23
18173,0.00,0.01,2.81
18196,0.02,0.02,2.62
18218,0.01,0.02,2.08
18241,0.00,0.02,4.64
18264,0.01,0.02,3.11
18287,0.01,0.04,11.47
18311,0.14,-0.01,1.59
18335,0.06,-0.05,2.93
18359,0.03,0.01,2.62
18382,0.02,0.02,1.28
18405,0.02,0.00,1.65
18428,0.02,0.02,5.00
18451,0.02,0.01,2.99
18474,0.01,0.01,2.38
18497,0.03,0.01,3.11
18519,0.02,0.01,3.05
18542,0.01,0.01,3.11
18565,0.02,0.01,1.83
18588,0.02,0.01,3.17
18611,0.02,0.02,2.32
18634,0.01,0.01,2.08
18657,0.01,0.01,2.56
18680,0.02,0.01,1.77
18703,0.02,0.01,1.59
18726,0.02,0.03,4.03
18749,0.01,0.01,4.15
18772,0.08,0.00,5.68
18794,0.14,-0.02,-0.73
18819,0.02,0.02,-8.42
18843,-0.03,0.07,-7.39
18868,0.02,0.04,1.89
18891,0.02,0.01,3.30
18914,0.01,0.00,3.91
18937,-0.00,0.02,3.42
18961,-0.00,0.03,4.09
18985,0.00,0.03,3.48
19008,-0.00,0.02,2.75
19032,0.01,0.03,3.85
19055,-0.00,0.02,1.95
19079,0.00,0.03,2.20
19102,-0.00,0.01,3.42
19126,0.00,0.01,3.17
19149,-0.00,0.03,3.11
19173,-0.00,0.02,3.17
19197,-0.00,0.02,3.60
19221,0.01,0.03,3.54
19243,-0.00,0.01,2.81
19267,0.00,0.02,2.93
19290,0.01,0.02,1.95
19313,0.01,0.01,2.20
19336,0.00,0.03,4.03
19359,0.01,0.02,2.01
19382,0.01,0.02,2.38
19405,0.00,0.02,2.81
19428,0.01,0.01,2.56
19451,-0.00,0.02,2.87
19475,-0.01,0.02,3.17
19499,-0.03,0.01,3.05
19523,-0.01,0.02,3.30
19547,-0.01,0.02,2.69
19571,-0.01,0.02,3.78
19594,0.00,0.02,2.75
19617,0.01,0.03,1.83
19640,-0.01,0.03,2.93
19664,-0.00,0.01,2.87
19688,-0.00,0.03,2.50
19712,-0.00,0.03,3.48
19736,-0.01,0.00,3.91
19760,-0.01,0.03,2.56
19784,-0.00,0.03,2.99
19808,0.00,0.03,2.99
19831,-0.00,0.03,2.75
19855,-0.00,0.03,2.99
19879,-0.01,0.02,2.93
19903,-0.01,0.02,2.50
19927,-0.00,0.02,2.56
